t,interface_n,active_a,active_b,mean_omega_a,mean_omega_b,stamina_a,stamina_b,breaches
0.01,0,40,40,0.333,0.344,1.000,1.000,0
1.01,0,40,40,0.333,0.332,1.000,1.000,0
2.01,0,40,40,0.333,0.331,1.000,1.000,0
3.01,8160,38,39,0.296,0.325,0.999,0.999,0
4.01,15105,38,39,0.333,0.333,0.998,0.997,0
5.01,15168,38,39,0.333,0.333,0.996,0.996,0
6.01,16199,38,39,0.333,0.333,0.994,0.994,0
7.01,16168,38,39,0.333,0.333,0.993,0.992,0
8.01,16137,38,39,0.333,0.333,0.991,0.991,0
9.01,16105,38,39,0.333,0.333,0.989,0.989,0
10.01,16072,38,39,0.333,0.333,0.988,0.987,0
11.01,16040,38,39,0.333,0.333,0.986,0.985,0
12.01,16008,38,39,0.333,0.333,0.984,0.984,0
13.01,15976,38,39,0.333,0.333,0.983,0.982,0
14.01,15047,38,39,0.333,0.333,0.981,0.980,0
15.01,14668,38,39,0.333,0.333,0.979,0.978,0
16.01,12527,37,38,0.309,0.311,0.979,0.978,0
17.01,11342,37,38,0.246,0.287,0.978,0.976,0
18.01,11240,37,38,0.191,0.286,0.977,0.975,0
19.01,11226,37,38,0.188,0.283,0.975,0.974,0
20.01,11214,37,38,0.181,0.276,0.974,0.972,0
21.01,9845,37,38,0.182,0.278,0.973,0.971,0
22.01,8398,37,38,0.192,0.287,0.972,0.969,0
23.01,8382,37,38,0.205,0.300,0.971,0.968,0
24.01,6028,37,38,0.201,0.310,0.970,0.967,0
25.01,5156,37,38,0.168,0.310,0.969,0.966,0
26.01,3728,37,38,0.160,0.303,0.968,0.966,0
27.01,1579,37,38,0.157,0.296,0.967,0.965,0
28.01,1496,35,38,0.117,0.292,0.967,0.965,0
29.01,53,35,38,0.104,0.286,0.966,0.965,0
30.01,53,35,38,0.114,0.288,0.966,0.965,0
31.01,1450,35,38,0.067,0.299,0.965,0.965,0
32.01,53,35,38,0.070,0.301,0.965,0.965,0
33.01,53,35,38,0.076,0.299,0.964,0.965,0
34.01,0,35,38,0.136,0.292,0.964,0.965,0
35.01,0,35,38,0.093,0.285,0.963,0.965,0
36.01,0,35,38,0.090,0.278,0.963,0.965,0
37.01,0,35,38,0.088,0.270,0.962,0.965,0
38.01,0,35,38,0.114,0.262,0.962,0.965,0
39.01,0,35,38,0.067,0.253,0.961,0.965,0
40.01,0,35,38,0.050,0.243,0.961,0.965,0
41.01,0,35,38,0.029,0.233,0.960,0.965,0
42.01,0,35,38,0.004,0.222,0.960,0.965,0
43.01,0,35,38,0.000,0.218,0.959,0.965,0
44.01,0,35,38,0.000,0.206,0.959,0.965,0
45.01,0,35,38,0.000,0.195,0.958,0.965,0
46.01,0,35,38,0.000,0.184,0.958,0.965,0
47.01,0,35,38,0.000,0.176,0.957,0.965,0
48.01,0,35,38,0.000,0.169,0.957,0.965,0
49.01,0,35,38,0.000,0.164,0.957,0.965,0
50.01,0,35,38,0.000,0.159,0.956,0.965,0
51.01,0,35,38,0.000,0.153,0.956,0.965,0
52.01,0,35,38,0.000,0.148,0.956,0.965,0
53.01,0,35,38,0.000,0.142,0.956,0.965,0
54.01,0,35,38,0.000,0.136,0.955,0.965,0
55.01,0,35,38,0.009,0.130,0.955,0.965,0
56.01,0,35,38,0.000,0.140,0.955,0.964,0
57.01,0,35,38,0.000,0.144,0.955,0.964,0
58.01,0,35,38,0.029,0.138,0.955,0.964,0
59.01,0,34,38,0.000,0.132,0.954,0.964,0
60.01,0,34,38,0.000,0.127,0.953,0.964,0
61.01,0,34,38,0.000,0.124,0.953,0.964,0
62.01,548,34,38,0.000,0.120,0.953,0.963,0
63.01,2755,34,38,0.033,0.124,0.952,0.963,0
64.01,0,34,38,0.014,0.129,0.952,0.963,0
65.01,0,34,38,0.000,0.123,0.952,0.963,0
66.01,0,34,38,0.000,0.117,0.951,0.963,0
67.01,909,34,38,0.000,0.116,0.951,0.962,0
68.01,0,34,38,0.000,0.123,0.950,0.962,0
69.01,0,34,38,0.000,0.116,0.950,0.962,0
70.01,0,34,38,0.014,0.109,0.949,0.962,0
71.01,0,34,38,0.000,0.103,0.949,0.962,0
72.01,0,34,38,0.000,0.097,0.948,0.961,0
73.01,0,34,38,0.000,0.130,0.948,0.961,0
74.01,0,34,38,0.000,0.124,0.947,0.961,0
75.01,0,34,38,0.000,0.117,0.947,0.961,0
76.01,0,34,38,0.000,0.113,0.946,0.961,0
77.01,0,34,38,0.007,0.108,0.946,0.960,0
78.01,0,34,38,0.000,0.103,0.946,0.960,0
79.01,0,34,38,0.000,0.101,0.945,0.960,0
80.01,0,34,38,0.000,0.099,0.945,0.960,0
81.01,0,34,38,0.000,0.098,0.944,0.960,0
82.01,0,34,38,0.000,0.096,0.944,0.960,0
83.01,0,34,38,0.015,0.095,0.944,0.959,0
84.01,0,34,38,0.000,0.093,0.943,0.959,0
85.01,0,34,38,0.000,0.092,0.943,0.959,0
86.01,0,34,38,0.000,0.090,0.943,0.959,0
87.01,0,34,38,0.000,0.088,0.943,0.958,0
88.01,0,34,38,0.051,0.087,0.943,0.958,0
89.01,0,34,38,0.000,0.085,0.942,0.958,0
